home_team,away_team,home_score,away_score,Hasil,HTRF,THFP,PHPAR,PHSPAR,PHPSAR,PHDAR,PHTSA,PHDBAR,PHAAR,ATRF,TAFP,PAPAR,PASPAR,PAPSAR,PADAR,PATSA,PADBAR,PAAAR
Honduras,USA,0,2,Away_win,34,3,70,62,78,60,77,72,28,31,10,70,66,80,62,77,72,27
USA,Mexico,0,5,Away_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Algeria,Uruguay,1,0,Home_win,,,,,,,,,,6,12,72,66,80,65,77,74,28
Bosnia-Herzegovina,Iran,2,3,Away_win,16,1,73,66,79,61,77,75,27,49,4,67,60,75,58,72,67,28
Honduras,Costa Rica,4,0,Home_win,34,3,70,62,78,60,77,72,28,13,4,66,60,76,57,74,67,27
Mexico,USA,2,1,Home_win,24,15,71,64,75,62,76,72,27,31,10,70,66,80,62,77,72,27
Netherlands,England,2,2,Draw,8,10,74,68,80,63,78,75,26,10,14,75,68,81,64,79,76,26
Russia,Argentina,2,3,Away_win,19,10,71,64,76,62,77,75,27,3,16,76,66,81,65,76,74,29
Switzerland,Italy,0,0,Draw,7,10,72,66,80,65,78,74,26,9,18,76,68,81,66,77,75,27
Argentina,Brazil,1,3,Away_win,3,16,76,66,81,65,76,74,29,11,20,76,70,80,65,79,79,28
Colombia,Ecuador,2,0,Home_win,4,5,73,67,80,63,79,75,27,22,3,70,65,77,57,80,75,27
Costa Rica,Mexico,0,3,Away_win,13,4,66,60,76,57,74,67,27,24,15,71,64,75,62,76,72,27
Korea Republic,Australia,3,1,Home_win,56,9,72,67,78,62,77,73,26,57,4,71,64,78,62,76,71,26
Netherlands,Japan,3,0,Home_win,8,10,74,68,80,63,78,75,26,44,5,72,66,74,63,73,72,27
Spain,Belgium,5,0,Home_win,1,14,81,71,79,67,78,82,28,5,12,76,68,82,65,78,77,25
Switzerland,Greece,2,0,Home_win,7,10,72,66,80,65,78,74,26,18,3,73,66,79,62,76,74,28
Japan,Ghana,4,3,Home_win,44,5,72,66,74,63,73,72,27,23,3,71,66,80,63,81,74,25
Mexico,Honduras,1,0,Home_win,24,15,71,64,75,62,76,72,27,34,3,70,62,78,60,77,72,28
Argentina,Ghana,2,0,Home_win,3,16,76,66,81,65,76,74,29,23,3,71,66,80,63,81,74,25
Mexico,Colombia,1,2,Away_win,24,15,71,64,75,62,76,72,27,4,5,73,67,80,63,79,75,27
Australia,Netherlands,0,0,Draw,57,4,71,64,78,62,76,71,26,8,10,74,68,80,63,78,75,26
Colombia,Chile,2,4,Away_win,4,5,73,67,80,63,79,75,27,12,9,73,68,76,64,77,75,28
Honduras,USA,2,3,Away_win,34,3,70,62,78,60,77,72,28,31,10,70,66,80,62,77,72,27
Russia,Germany,0,1,Away_win,19,10,71,64,76,62,77,75,27,2,18,76,69,81,67,77,76,26
Bosnia-Herzegovina,Spain,2,5,Away_win,16,1,73,66,79,61,77,75,27,1,14,81,71,79,67,78,82,28
Chile,Ecuador,1,0,Home_win,12,9,73,68,76,64,77,75,28,22,3,70,65,77,57,80,75,27
Uruguay,Argentina,0,1,Away_win,6,12,72,66,80,65,77,74,28,3,16,76,66,81,65,76,74,29
USA,Costa Rica,2,2,Draw,31,10,70,66,80,62,77,72,27,13,4,66,60,76,57,74,67,27
Brazil,England,1,0,Home_win,11,20,76,70,80,65,79,79,28,10,14,75,68,81,64,79,76,26
Costa Rica,Uruguay,0,1,Away_win,13,4,66,60,76,57,74,67,27,6,12,72,66,80,65,77,74,28
Italy,Netherlands,0,0,Draw,9,18,76,68,81,66,77,75,27,8,10,74,68,80,63,78,75,26
Portugal,Bosnia-Herzegovina,1,0,Home_win,14,6,75,70,80,63,78,78,28,16,1,73,66,79,61,77,75,27
Spain,Argentina,2,1,Home_win,1,14,81,71,79,67,78,82,28,3,16,76,66,81,65,76,74,29
Bosnia-Herzegovina,Portugal,0,1,Away_win,16,1,73,66,79,61,77,75,27,14,6,75,70,80,63,78,78,28
Germany,Ivory Coast,2,2,Draw,2,18,76,69,81,67,77,76,26,17,3,72,65,80,62,80,73,27
Uruguay,Costa Rica,1,1,Draw,6,12,72,66,80,65,77,74,28,13,4,66,60,76,57,74,67,27
Ivory Coast,Ghana,3,1,Home_win,17,3,72,65,80,62,80,73,27,23,3,71,66,80,63,81,74,25
USA,Honduras,1,3,Away_win,31,10,70,66,80,62,77,72,27,34,3,70,62,78,60,77,72,28
Ivory Coast,Algeria,2,3,Away_win,17,3,72,65,80,62,80,73,27,,,,,,,,,
Argentina,Costa Rica,3,2,Home_win,3,16,76,66,81,65,76,74,29,13,4,66,60,76,57,74,67,27
Ghana,Nigeria,1,0,Home_win,23,3,71,66,80,63,81,74,25,33,5,70,64,80,61,81,74,25
Nigeria,Algeria,1,0,Home_win,33,5,70,64,80,61,81,74,25,,,,,,,,,
Japan,Korea Republic,1,3,Away_win,44,5,72,66,74,63,73,72,27,56,9,72,67,78,62,77,73,26
Bosnia-Herzegovina,Ghana,2,1,Home_win,16,1,73,66,79,61,77,75,27,23,3,71,66,80,63,81,74,25
France,Spain,0,2,Away_win,21,14,76,69,80,68,81,76,26,1,14,81,71,79,67,78,82,28
Germany,Argentina,0,1,Away_win,2,18,76,69,81,67,77,76,26,3,16,76,66,81,65,76,74,29
Italy,Cameroon,0,0,Draw,9,18,76,68,81,66,77,75,27,59,7,69,64,81,63,81,74,26
Ivory Coast,Korea Republic,0,2,Away_win,17,3,72,65,80,62,80,73,27,56,9,72,67,78,62,77,73,26
Netherlands,USA,2,1,Home_win,8,10,74,68,80,63,78,75,26,31,10,70,66,80,62,77,72,27
Switzerland,Uruguay,1,3,Away_win,7,10,72,66,80,65,78,74,26,6,12,72,66,80,65,77,74,28
Mexico,Ecuador,0,0,Draw,24,15,71,64,75,62,76,72,27,22,3,70,65,77,57,80,75,27
Korea Republic,Ecuador,2,0,Home_win,56,9,72,67,78,62,77,73,26,22,3,70,65,77,57,80,75,27
Mexico,Chile,1,0,Home_win,24,15,71,64,75,62,76,72,27,12,9,73,68,76,64,77,75,28
England,Mexico,3,1,Home_win,10,14,75,68,81,64,79,76,26,24,15,71,64,75,62,76,72,27
Japan,Korea Republic,0,2,Away_win,44,5,72,66,74,63,73,72,27,56,9,72,67,78,62,77,73,26
France,Costa Rica,2,1,Home_win,21,14,76,69,80,68,81,76,26,13,4,66,60,76,57,74,67,27
Netherlands,Mexico,2,1,Home_win,8,10,74,68,80,63,78,75,26,24,15,71,64,75,62,76,72,27
Japan,England,1,2,Away_win,44,5,72,66,74,63,73,72,27,10,14,75,68,81,64,79,76,26
Nigeria,Colombia,1,1,Draw,33,5,70,64,80,61,81,74,25,33,5,70,64,80,61,81,74,25
Netherlands,Ghana,4,1,Home_win,8,10,74,68,80,63,78,75,26,23,3,71,66,80,63,81,74,25
Portugal,Cameroon,3,1,Home_win,14,6,75,70,80,63,78,78,28,59,7,69,64,81,63,81,74,26
Switzerland,Costa Rica,0,1,Away_win,7,10,72,66,80,65,78,74,26,13,4,66,60,76,57,74,67,27
Germany,Bosnia-Herzegovina,3,1,Home_win,2,18,76,69,81,67,77,76,26,16,1,73,66,79,61,77,75,27
Italy,Mexico,1,2,Away_win,9,18,76,68,81,66,77,75,27,24,15,71,64,75,62,76,72,27
Spain,Korea Republic,1,0,Home_win,1,14,81,71,79,67,78,82,28,56,9,72,67,78,62,77,73,26
Japan,Ivory Coast,0,2,Away_win,44,5,72,66,74,63,73,72,27,17,3,72,65,80,62,80,73,27
Australia,USA,1,3,Away_win,57,4,71,64,78,62,76,71,26,31,10,70,66,80,62,77,72,27
Switzerland,Italy,1,1,Draw,7,10,72,66,80,65,78,74,26,9,18,76,68,81,66,77,75,27
Uruguay,France,0,0,Draw,6,12,72,66,80,65,77,74,28,21,14,76,69,80,68,81,76,26
Argentina,Nigeria,1,0,Home_win,3,16,76,66,81,65,76,74,29,33,5,70,64,80,61,81,74,25
England,USA,1,1,Draw,10,14,75,68,81,64,79,76,26,31,10,70,66,80,62,77,72,27
Korea Republic,Greece,2,0,Home_win,56,9,72,67,78,62,77,73,26,18,3,73,66,79,62,76,74,28
Germany,Australia,4,0,Home_win,2,18,76,69,81,67,77,76,26,57,4,71,64,78,62,76,71,26
Japan,Cameroon,1,0,Home_win,44,5,72,66,74,63,73,72,27,59,7,69,64,81,63,81,74,26
Ivory Coast,Portugal,0,0,Draw,17,3,72,65,80,62,80,73,27,14,6,75,70,80,63,78,78,28
Honduras,Chile,0,1,Away_win,34,3,70,62,78,60,77,72,28,12,9,73,68,76,64,77,75,28
Spain,Switzerland,0,1,Away_win,1,14,81,71,79,67,78,82,28,7,10,72,66,80,65,78,74,26
Argentina,Korea Republic,4,1,Home_win,3,16,76,66,81,65,76,74,29,56,9,72,67,78,62,77,73,26
France,Mexico,0,2,Away_win,21,14,76,69,80,68,81,76,26,24,15,71,64,75,62,76,72,27
Greece,Nigeria,2,1,Home_win,18,3,73,66,79,62,76,74,28,33,5,70,64,80,61,81,74,25
England,Algeria,0,0,Draw,10,14,75,68,81,64,79,76,26,,,,,,,,,
Ghana,Australia,1,1,Draw,23,3,71,66,80,63,81,74,25,57,4,71,64,78,62,76,71,26
Netherlands,Japan,1,0,Home_win,8,10,74,68,80,63,78,75,26,44,5,72,66,74,63,73,72,27
Brazil,Ivory Coast,3,1,Home_win,11,20,76,70,80,65,79,79,28,17,3,72,65,80,62,80,73,27
Chile,Switzerland,1,0,Home_win,12,9,73,68,76,64,77,75,28,7,10,72,66,80,65,78,74,26
Spain,Honduras,2,0,Home_win,1,14,81,71,79,67,78,82,28,34,3,70,62,78,60,77,72,28
Greece,Argentina,0,2,Away_win,18,3,73,66,79,62,76,74,28,3,16,76,66,81,65,76,74,29
Mexico,Uruguay,0,1,Away_win,24,15,71,64,75,62,76,72,27,6,12,72,66,80,65,77,74,28
Nigeria,Korea Republic,2,2,Draw,33,5,70,64,80,61,81,74,25,56,9,72,67,78,62,77,73,26
Ghana,Germany,0,1,Away_win,23,3,71,66,80,63,81,74,25,2,18,76,69,81,67,77,76,26
USA,Algeria,1,0,Home_win,31,10,70,66,80,62,77,72,27,,,,,,,,,
Cameroon,Netherlands,1,2,Away_win,59,7,69,64,81,63,81,74,26,8,10,74,68,80,63,78,75,26
Chile,Spain,1,2,Away_win,12,9,73,68,76,64,77,75,28,1,14,81,71,79,67,78,82,28
Portugal,Brazil,0,0,Draw,14,6,75,70,80,63,78,78,28,11,20,76,70,80,65,79,79,28
Switzerland,Honduras,0,0,Draw,7,10,72,66,80,65,78,74,26,34,3,70,62,78,60,77,72,28
Uruguay,Korea Republic,2,1,Home_win,6,12,72,66,80,65,77,74,28,56,9,72,67,78,62,77,73,26
USA,Ghana,1,2,Away_win,31,10,70,66,80,62,77,72,27,23,3,71,66,80,63,81,74,25
Argentina,Mexico,3,1,Home_win,3,16,76,66,81,65,76,74,29,24,15,71,64,75,62,76,72,27
Germany,England,4,1,Home_win,2,18,76,69,81,67,77,76,26,10,14,75,68,81,64,79,76,26
Brazil,Chile,3,0,Home_win,11,20,76,70,80,65,79,79,28,12,9,73,68,76,64,77,75,28
Spain,Portugal,1,0,Home_win,1,14,81,71,79,67,78,82,28,14,6,75,70,80,63,78,78,28
Netherlands,Brazil,2,1,Home_win,8,10,74,68,80,63,78,75,26,11,20,76,70,80,65,79,79,28
Uruguay,Ghana,1,1,Draw,6,12,72,66,80,65,77,74,28,23,3,71,66,80,63,81,74,25
Argentina,Germany,0,4,Away_win,3,16,76,66,81,65,76,74,29,2,18,76,69,81,67,77,76,26
Uruguay,Netherlands,2,3,Away_win,6,12,72,66,80,65,77,74,28,8,10,74,68,80,63,78,75,26
Germany,Spain,0,1,Away_win,2,18,76,69,81,67,77,76,26,1,14,81,71,79,67,78,82,28
Uruguay,Germany,2,3,Away_win,6,12,72,66,80,65,77,74,28,2,18,76,69,81,67,77,76,26
Netherlands,Spain,0,1,Away_win,8,10,74,68,80,63,78,75,26,1,14,81,71,79,67,78,82,28
Italy,Ivory Coast,0,1,Away_win,9,18,76,68,81,66,77,75,27,17,3,72,65,80,62,80,73,27
USA,Brazil,0,2,Away_win,31,10,70,66,80,62,77,72,27,11,20,76,70,80,65,79,79,28
Korea Republic,Nigeria,2,1,Home_win,56,9,72,67,78,62,77,73,26,33,5,70,64,80,61,81,74,25
Mexico,Spain,1,1,Draw,24,15,71,64,75,62,76,72,27,1,14,81,71,79,67,78,82,28
Belgium,Germany,0,1,Away_win,5,12,76,68,82,65,78,77,25,2,18,76,69,81,67,77,76,26
Switzerland,Australia,0,0,Draw,7,10,72,66,80,65,78,74,26,57,4,71,64,78,62,76,71,26
Mexico,Ecuador,1,2,Away_win,24,15,71,64,75,62,76,72,27,22,3,70,65,77,57,80,75,27
Argentina,Spain,4,1,Home_win,3,16,76,66,81,65,76,74,29,1,14,81,71,79,67,78,82,28
Bosnia-Herzegovina,France,0,2,Away_win,16,1,73,66,79,61,77,75,27,21,14,76,69,80,68,81,76,26
Korea Republic,Iran,0,1,Away_win,56,9,72,67,78,62,77,73,26,49,4,67,60,75,58,72,67,28
Mexico,Colombia,1,0,Home_win,24,15,71,64,75,62,76,72,27,4,5,73,67,80,63,79,75,27
Switzerland,England,1,3,Away_win,7,10,72,66,80,65,78,74,26,10,14,75,68,81,64,79,76,26
Iran,Brazil,0,3,Away_win,49,4,67,60,75,58,72,67,28,11,20,76,70,80,65,79,79,28
Colombia,Ecuador,1,0,Home_win,4,5,73,67,80,63,79,75,27,22,3,70,65,77,57,80,75,27
Japan,Argentina,1,0,Home_win,44,5,72,66,74,63,73,72,27,3,16,76,66,81,65,76,74,29
Korea Republic,Japan,0,0,Draw,56,9,72,67,78,62,77,73,26,44,5,72,66,74,63,73,72,27
USA,Colombia,0,0,Draw,31,10,70,66,80,62,77,72,27,4,5,73,67,80,63,79,75,27
Argentina,Brazil,1,0,Home_win,3,16,76,66,81,65,76,74,29,11,20,76,70,80,65,79,79,28
Chile,Uruguay,2,0,Home_win,12,9,73,68,76,64,77,75,28,6,12,72,66,80,65,77,74,28
England,France,1,2,Away_win,10,14,75,68,81,64,79,76,26,21,14,76,69,80,68,81,76,26
Portugal,Spain,4,0,Home_win,14,6,75,70,80,63,78,78,28,1,14,81,71,79,67,78,82,28
Russia,Belgium,0,2,Away_win,19,10,71,64,76,62,77,75,27,5,12,76,68,82,65,78,77,25
Australia,Korea Republic,1,1,Draw,57,4,71,64,78,62,76,71,26,56,9,72,67,78,62,77,73,26
Costa Rica,Honduras,1,1,Draw,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
Iran,Korea Republic,0,1,Away_win,49,4,67,60,75,58,72,67,28,56,9,72,67,78,62,77,73,26
USA,Chile,1,1,Draw,31,10,70,66,80,62,77,72,27,12,9,73,68,76,64,77,75,28
Honduras,Costa Rica,2,1,Home_win,34,3,70,62,78,60,77,72,28,13,4,66,60,76,57,74,67,27
Japan,Korea Republic,2,2,Draw,44,5,72,66,74,63,73,72,27,56,9,72,67,78,62,77,73,26
Australia,Japan,0,1,Away_win,57,4,71,64,78,62,76,71,26,44,5,72,66,74,63,73,72,27
Argentina,Portugal,2,1,Home_win,3,16,76,66,81,65,76,74,29,14,6,75,70,80,63,78,78,28
France,Brazil,1,0,Home_win,21,14,76,69,80,68,81,76,26,11,20,76,70,80,65,79,79,28
Germany,Italy,1,1,Draw,2,18,76,69,81,67,77,76,26,9,18,76,68,81,66,77,75,27
Honduras,Ecuador,1,1,Draw,34,3,70,62,78,60,77,72,28,22,3,70,65,77,57,80,75,27
Iran,Russia,1,0,Home_win,49,4,67,60,75,58,72,67,28,19,10,71,64,76,62,77,75,27
Mexico,Bosnia-Herzegovina,2,0,Home_win,24,15,71,64,75,62,76,72,27,16,1,73,66,79,61,77,75,27
Spain,Colombia,1,0,Home_win,1,14,81,71,79,67,78,82,28,4,5,73,67,80,63,79,75,27
Korea Republic,Honduras,4,0,Home_win,56,9,72,67,78,62,77,73,26,34,3,70,62,78,60,77,72,28
Colombia,Ecuador,2,0,Home_win,4,5,73,67,80,63,79,75,27,22,3,70,65,77,57,80,75,27
Portugal,Chile,1,1,Draw,14,6,75,70,80,63,78,78,28,12,9,73,68,76,64,77,75,28
USA,Argentina,1,1,Draw,31,10,70,66,80,62,77,72,27,3,16,76,66,81,65,76,74,29
Colombia,Chile,0,2,Away_win,4,5,73,67,80,63,79,75,27,12,9,73,68,76,64,77,75,28
Costa Rica,Argentina,0,0,Draw,13,4,66,60,76,57,74,67,27,3,16,76,66,81,65,76,74,29
England,Ghana,1,1,Draw,10,14,75,68,81,64,79,76,26,23,3,71,66,80,63,81,74,25
Germany,Australia,1,2,Away_win,2,18,76,69,81,67,77,76,26,57,4,71,64,78,62,76,71,26
Argentina,Ecuador,2,2,Draw,3,16,76,66,81,65,76,74,29,22,3,70,65,77,57,80,75,27
Mexico,Ecuador,1,1,Draw,24,15,71,64,75,62,76,72,27,22,3,70,65,77,57,80,75,27
Germany,Uruguay,2,1,Home_win,2,18,76,69,81,67,77,76,26,6,12,72,66,80,65,77,74,28
Nigeria,Argentina,4,1,Home_win,33,5,70,64,80,61,81,74,25,3,16,76,66,81,65,76,74,29
Brazil,Netherlands,0,0,Draw,11,20,76,70,80,65,79,79,28,8,10,74,68,80,63,78,75,26
England,Switzerland,2,2,Draw,10,14,75,68,81,64,79,76,26,7,10,72,66,80,65,78,74,26
USA,Spain,0,4,Away_win,31,10,70,66,80,62,77,72,27,1,14,81,71,79,67,78,82,28
Korea Republic,Ghana,2,1,Home_win,56,9,72,67,78,62,77,73,26,23,3,71,66,80,63,81,74,25
Russia,Cameroon,0,0,Draw,19,10,71,64,76,62,77,75,27,59,7,69,64,81,63,81,74,26
Uruguay,Netherlands,1,1,Draw,6,12,72,66,80,65,77,74,28,8,10,74,68,80,63,78,75,26
Mexico,Costa Rica,4,1,Home_win,24,15,71,64,75,62,76,72,27,13,4,66,60,76,57,74,67,27
Costa Rica,Honduras,1,1,Draw,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
Colombia,Mexico,0,0,Draw,4,5,73,67,80,63,79,75,27,24,15,71,64,75,62,76,72,27
Honduras,Mexico,0,2,Away_win,34,3,70,62,78,60,77,72,28,24,15,71,64,75,62,76,72,27
USA,Mexico,2,4,Away_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Colombia,Costa Rica,1,0,Home_win,4,5,73,67,80,63,79,75,27,13,4,66,60,76,57,74,67,27
Chile,Mexico,2,1,Home_win,12,9,73,68,76,64,77,75,28,24,15,71,64,75,62,76,72,27
Argentina,Colombia,0,0,Draw,3,16,76,66,81,65,76,74,29,4,5,73,67,80,63,79,75,27
Uruguay,Chile,1,1,Draw,6,12,72,66,80,65,77,74,28,12,9,73,68,76,64,77,75,28
Argentina,Costa Rica,3,0,Home_win,3,16,76,66,81,65,76,74,29,13,4,66,60,76,57,74,67,27
Uruguay,Mexico,1,0,Home_win,6,12,72,66,80,65,77,74,28,24,15,71,64,75,62,76,72,27
Brazil,Ecuador,4,2,Home_win,11,20,76,70,80,65,79,79,28,22,3,70,65,77,57,80,75,27
Argentina,Uruguay,1,1,Draw,3,16,76,66,81,65,76,74,29,6,12,72,66,80,65,77,74,28
Bosnia-Herzegovina,Greece,0,0,Draw,16,1,73,66,79,61,77,75,27,18,3,73,66,79,62,76,74,28
Costa Rica,Ecuador,0,2,Away_win,13,4,66,60,76,57,74,67,27,22,3,70,65,77,57,80,75,27
France,Chile,1,1,Draw,21,14,76,69,80,68,81,76,26,12,9,73,68,76,64,77,75,28
Germany,Brazil,3,2,Home_win,2,18,76,69,81,67,77,76,26,11,20,76,70,80,65,79,79,28
Italy,Spain,2,1,Home_win,9,18,76,68,81,66,77,75,27,1,14,81,71,79,67,78,82,28
Japan,Korea Republic,3,0,Home_win,44,5,72,66,74,63,73,72,27,56,9,72,67,78,62,77,73,26
USA,Mexico,1,1,Draw,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Spain,Chile,3,2,Home_win,1,14,81,71,79,67,78,82,28,12,9,73,68,76,64,77,75,28
USA,Costa Rica,0,1,Away_win,31,10,70,66,80,62,77,72,27,13,4,66,60,76,57,74,67,27
Honduras,Colombia,0,2,Away_win,34,3,70,62,78,60,77,72,28,4,5,73,67,80,63,79,75,27
Mexico,Chile,1,0,Home_win,24,15,71,64,75,62,76,72,27,12,9,73,68,76,64,77,75,28
Brazil,Ghana,1,0,Home_win,11,20,76,70,80,65,79,79,28,23,3,71,66,80,63,81,74,25
Argentina,Nigeria,3,1,Home_win,3,16,76,66,81,65,76,74,29,33,5,70,64,80,61,81,74,25
Belgium,USA,1,0,Home_win,5,12,76,68,82,65,78,77,25,31,10,70,66,80,62,77,72,27
Argentina,Brazil,0,0,Draw,3,16,76,66,81,65,76,74,29,11,20,76,70,80,65,79,79,28
Brazil,Argentina,2,0,Home_win,11,20,76,70,80,65,79,79,28,3,16,76,66,81,65,76,74,29
Argentina,Chile,4,1,Home_win,3,16,76,66,81,65,76,74,29,12,9,73,68,76,64,77,75,28
Costa Rica,Brazil,0,1,Away_win,13,4,66,60,76,57,74,67,27,11,20,76,70,80,65,79,79,28
USA,Honduras,1,0,Home_win,31,10,70,66,80,62,77,72,27,34,3,70,62,78,60,77,72,28
France,Bosnia-Herzegovina,1,1,Draw,21,14,76,69,80,68,81,76,26,16,1,73,66,79,61,77,75,27
Germany,Belgium,3,1,Home_win,2,18,76,69,81,67,77,76,26,5,12,76,68,82,65,78,77,25
Ghana,Nigeria,0,0,Draw,23,3,71,66,80,63,81,74,25,33,5,70,64,80,61,81,74,25
Mexico,Brazil,1,2,Away_win,24,15,71,64,75,62,76,72,27,11,20,76,70,80,65,79,79,28
USA,Ecuador,0,1,Away_win,31,10,70,66,80,62,77,72,27,22,3,70,65,77,57,80,75,27
Bosnia-Herzegovina,Portugal,0,0,Draw,16,1,73,66,79,61,77,75,27,14,6,75,70,80,63,78,78,28
France,USA,1,0,Home_win,21,14,76,69,80,68,81,76,26,31,10,70,66,80,62,77,72,27
Greece,Russia,1,1,Draw,18,3,73,66,79,62,76,74,28,19,10,71,64,76,62,77,75,27
Netherlands,Switzerland,0,0,Draw,8,10,74,68,80,63,78,75,26,7,10,72,66,80,65,78,74,26
Uruguay,Chile,4,0,Home_win,6,12,72,66,80,65,77,74,28,12,9,73,68,76,64,77,75,28
England,Spain,1,0,Home_win,10,14,75,68,81,64,79,76,26,1,14,81,71,79,67,78,82,28
Colombia,Argentina,1,2,Away_win,4,5,73,67,80,63,79,75,27,3,16,76,66,81,65,76,74,29
Costa Rica,Spain,2,2,Draw,13,4,66,60,76,57,74,67,27,1,14,81,71,79,67,78,82,28
France,Belgium,0,0,Draw,21,14,76,69,80,68,81,76,26,5,12,76,68,82,65,78,77,25
Germany,Netherlands,3,0,Home_win,2,18,76,69,81,67,77,76,26,8,10,74,68,80,63,78,75,26
Italy,Uruguay,0,1,Away_win,9,18,76,68,81,66,77,75,27,6,12,72,66,80,65,77,74,28
Portugal,Bosnia-Herzegovina,6,2,Home_win,14,6,75,70,80,63,78,78,28,16,1,73,66,79,61,77,75,27
Bosnia-Herzegovina,Brazil,1,2,Away_win,16,1,73,66,79,61,77,75,27,11,20,76,70,80,65,79,79,28
Chile,Ghana,1,1,Draw,12,9,73,68,76,64,77,75,28,23,3,71,66,80,63,81,74,25
England,Netherlands,2,3,Away_win,10,14,75,68,81,64,79,76,26,8,10,74,68,80,63,78,75,26
Germany,France,1,2,Away_win,2,18,76,69,81,67,77,76,26,21,14,76,69,80,68,81,76,26
Greece,Belgium,1,1,Draw,18,3,73,66,79,62,76,74,28,5,12,76,68,82,65,78,77,25
Italy,USA,0,1,Away_win,9,18,76,68,81,66,77,75,27,31,10,70,66,80,62,77,72,27
Mexico,Colombia,0,2,Away_win,24,15,71,64,75,62,76,72,27,4,5,73,67,80,63,79,75,27
Switzerland,Argentina,1,3,Away_win,7,10,72,66,80,65,78,74,26,3,16,76,66,81,65,76,74,29
Costa Rica,Honduras,1,1,Draw,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
Russia,Uruguay,1,1,Draw,19,10,71,64,76,62,77,75,27,6,12,72,66,80,65,77,74,28
Switzerland,Germany,5,3,Home_win,7,10,72,66,80,65,78,74,26,2,18,76,69,81,67,77,76,26
Spain,Korea Republic,4,1,Home_win,1,14,81,71,79,67,78,82,28,56,9,72,67,78,62,77,73,26
USA,Brazil,1,4,Away_win,31,10,70,66,80,62,77,72,27,11,20,76,70,80,65,79,79,28
Mexico,Bosnia-Herzegovina,2,1,Home_win,24,15,71,64,75,62,76,72,27,16,1,73,66,79,61,77,75,27
Italy,Russia,0,3,Away_win,9,18,76,68,81,66,77,75,27,19,10,71,64,76,62,77,75,27
Argentina,Ecuador,4,0,Home_win,3,16,76,66,81,65,76,74,29,22,3,73,67,78,57,82,74,26
England,Belgium,1,0,Home_win,10,14,75,68,81,64,79,76,26,5,12,76,68,82,65,78,77,25
Mexico,Brazil,2,0,Home_win,24,15,71,64,75,62,76,72,27,11,20,76,70,80,65,79,79,28
Brazil,Argentina,3,4,Away_win,11,20,76,70,80,65,79,79,28,3,16,76,66,81,65,76,74,29
Germany,Portugal,1,0,Home_win,2,18,76,69,81,67,77,76,26,14,6,75,70,80,63,78,78,28
Spain,Italy,1,1,Draw,1,14,81,71,79,67,78,82,28,9,18,76,68,81,66,77,75,27
France,England,1,1,Draw,21,14,76,69,80,68,81,76,26,10,14,75,68,81,64,79,76,26
Australia,Japan,1,1,Draw,57,4,71,64,78,62,76,71,26,44,5,72,66,74,63,73,72,27
Netherlands,Germany,1,2,Away_win,8,10,74,68,80,63,78,75,26,2,18,76,69,81,67,77,76,26
Greece,Russia,1,0,Home_win,18,3,73,66,79,62,76,74,28,19,10,71,64,76,62,77,75,27
Portugal,Netherlands,2,1,Home_win,14,6,75,70,80,63,78,78,28,8,10,74,68,80,63,78,75,26
Germany,Greece,4,2,Home_win,2,18,76,69,81,67,77,76,26,18,3,73,66,79,62,76,74,28
Spain,France,2,0,Home_win,1,14,81,71,79,67,78,82,28,21,14,76,69,80,68,81,76,26
England,Italy,0,0,Draw,10,14,75,68,81,64,79,76,26,9,18,76,68,81,66,77,75,27
Portugal,Spain,0,0,Draw,14,6,75,70,80,63,78,78,28,1,14,81,71,79,67,78,82,28
Germany,Italy,1,2,Away_win,2,18,76,69,81,67,77,76,26,9,18,76,68,81,66,77,75,27
Spain,Italy,4,0,Home_win,1,14,81,71,79,67,78,82,28,9,18,76,68,81,66,77,75,27
Belgium,Netherlands,4,2,Home_win,5,12,76,68,82,65,78,77,25,8,10,74,68,80,63,78,75,26
England,Italy,2,1,Home_win,10,14,75,68,81,64,79,76,26,9,18,76,68,81,66,77,75,27
France,Uruguay,0,0,Draw,21,14,76,69,80,68,81,76,26,6,12,72,66,80,65,77,74,28
Germany,Argentina,1,3,Away_win,2,18,76,69,81,67,77,76,26,3,16,76,66,81,65,76,74,29
Mexico,USA,0,1,Away_win,24,15,71,64,75,62,76,72,27,31,10,70,66,80,62,77,72,27
Russia,Ivory Coast,1,1,Draw,19,10,71,64,76,62,77,75,27,17,3,72,65,80,62,80,73,27
Colombia,Uruguay,4,0,Home_win,4,5,73,67,80,63,79,75,27,6,12,72,66,80,65,77,74,28
Costa Rica,Mexico,0,2,Away_win,13,4,66,60,76,57,74,67,27,24,15,71,64,75,62,76,72,27
Chile,Colombia,1,3,Away_win,12,9,73,68,76,64,77,75,28,4,5,73,67,80,63,79,75,27
Mexico,Costa Rica,1,0,Home_win,24,15,71,64,75,62,76,72,27,13,4,66,60,76,57,74,67,27
